userName,major,researchExp,industryExp,specialization,toeflScore,program,department,internExp,greV,greQ,journalPubs,greA,termAndYear,confPubs,ugCollege,univName,admit,topperCgpaScale,CgpaScale
0,165,11,40,1571,0.3821317440143159,2,1113,2,-0.6987666386394986,-0.7556545788175011,2.0,5.5,22,0.0,540,46,1,0.91,0.91
1,77,0,0,502,-0.1214068796278583,1,736,0,-0.8137345986364284,-0.7649481950392829,0.0,3.0,19,0.0,1679,40,1,0.85,0.828
2,89,0,26,2990,0.18509489128476947,1,467,3,-0.7907410066370425,-0.7587524508914284,0.0,3.0,23,0.0,1002,38,1,0.976,0.897
3,56,0,0,2001,0.18509489128476947,1,291,0,1.3476630493058523,1.0442090961342314,0.0,3.0,19,0.0,1671,21,1,0.95,0.86
4,56,0,0,2001,0.053736989465071855,1,467,0,-0.7677474146376565,-0.7649481950392829,0.0,3.0,19,0.0,972,48,1,0.0,0.0764
5,56,0,0,2001,0.20698787492138573,1,910,0,1.577598969299712,1.075187816873504,0.0,4.0,15,0.0,1625,4,1,0.0,0.653
6,89,0,0,3110,-0.340336715994021,2,649,0,-0.7907410066370425,-0.7990247878524827,0.0,4.5,17,0.0,378,3,1,0.88,0.76
7,56,0,0,2001,-0.07762091235462577,1,291,0,-0.8045371618366741,-0.7928290437046281,0.0,3.5,17,0.0,1625,14,1,0.76,0.6437
8,56,0,22,2001,-0.03383494508139323,1,346,1,-0.7907410066370425,-0.7866332995567736,0.0,3.5,23,0.0,638,42,1,0.85,0.758
11,137,0,0,2001,0.07562997310168812,1,207,0,-0.7769448514374109,-0.7773396833349918,0.0,3.0,17,0.0,74,20,1,0.91,0.8300000000000001
12,56,0,0,2001,0.07562997310168812,1,259,0,-0.7585499778379021,-0.7804375554089191,0.0,3.0,19,0.0,673,34,1,0.75,0.66
13,76,0,0,2001,-2.2012403251064043,1,531,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,15,0.0,1014,38,1,0.0,0.0
14,56,0,0,1687,0.11941594037492065,1,1290,0,0.7038424733230453,1.1061665376127765,0.0,3.5,15,0.0,103,9,1,0.8,0.7
15,137,0,35,885,0.0975229567383044,1,498,0,1.1637143133107646,1.0132303753949592,0.0,3.5,23,0.0,871,32,1,0.78,0.64
16,137,0,24,2001,-2.2012403251064043,1,635,0,-0.7585499778379021,-0.7804375554089191,0.0,3.0,23,0.0,1694,35,1,0.0,0.613
17,48,0,48,601,0.031844005828455584,1,467,12,-0.7585499778379021,-0.7835354274828463,0.0,3.0,23,0.0,1679,48,1,0.9,0.85
18,77,0,0,3041,0.3164527931044671,1,474,0,1.439637417303396,1.075187816873504,0.0,4.5,15,0.0,54,0,1,0.82,0.82
19,124,0,0,2001,0.053736989465071855,1,1360,0,-0.7907410066370425,-0.7928290437046281,0.0,3.0,17,0.0,1118,44,1,0.85,0.8
20,56,0,0,1701,0.36023876037769964,1,346,0,-0.7447538226382705,-0.7742418112610646,0.0,4.0,17,0.0,1218,13,1,0.0,0.72
21,221,0,0,3546,-2.2012403251064043,1,1387,0,-0.7907410066370425,-0.7711439391871374,0.0,0.0,0,0.0,642,28,1,0.0,0.0
22,122,0,0,1687,-2.2012403251064043,1,199,0,-0.7217602306388845,-0.7804375554089191,0.0,3.5,17,0.0,511,2,1,0.0,0.069
23,56,0,21,328,0.07562997310168812,1,967,5,-0.7907410066370425,-0.7680460671132101,0.0,3.0,23,0.0,515,35,1,0.96,0.82
24,89,0,0,2001,-0.07762091235462577,1,467,0,-0.7999384434367969,-0.7959269157785553,0.0,0.0,19,0.0,0,38,1,0.87,0.79
26,0,0,0,2001,-2.2012403251064043,1,320,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,24,0.0,1629,20,1,0.925,0.81
27,56,0,0,2001,0.18509489128476947,1,1452,0,-0.7677474146376565,-0.7835354274828463,0.0,3.0,19,0.0,530,44,1,0.96,0.9329999999999999
28,77,0,0,3209,0.009951022191839312,1,1481,0,-0.7585499778379021,-0.7680460671132101,0.0,3.5,19,0.0,1679,42,1,0.8623000000000001,0.8619
29,165,0,0,1922,0.2507738421946183,1,1162,0,-0.7355563858385161,-0.7680460671132101,0.0,3.5,44,0.0,638,13,1,0.79,0.73
30,197,0,18,2472,0.2507738421946183,1,997,5,-0.7217602306388845,-0.7618503229653556,0.0,4.5,23,0.0,269,53,1,0.89,0.85
31,48,0,0,1770,0.14130892401153694,1,199,0,-0.7953397250369196,-0.7897311716307008,0.0,4.0,17,0.0,871,20,1,0.0,0.0
32,56,0,0,216,0.0975229567383044,1,207,0,-0.7539512594380249,-0.7525567067435739,0.0,3.5,43,0.0,213,34,1,0.8699999999999999,0.79
33,77,0,0,498,0.0975229567383044,1,452,0,-0.7677474146376565,-0.7711439391871374,0.0,3.5,17,0.0,1679,43,1,0.0,0.8
34,109,0,0,2001,-0.1214068796278583,1,1470,0,-0.8413269090356916,-0.8052205320003372,0.0,3.0,23,0.0,559,20,1,0.975,0.975
35,137,0,0,1706,0.1632019076481532,1,967,0,-0.7309576674386391,-0.7711439391871374,0.0,4.0,22,0.0,1507,24,1,0.0,0.642
36,137,0,0,2001,0.1632019076481532,1,346,0,0.4279193693304137,1.1681239790913214,0.0,3.5,50,0.0,1279,25,1,0.94,0.8630000000000001
37,18,0,0,3179,0.3383457767410833,1,162,0,1.853522073292344,1.199102699830594,0.0,4.0,17,0.0,1343,5,1,0.0,0.8710000000000001
38,137,0,0,2001,0.20698787492138573,1,477,0,-0.7539512594380249,-0.7928290437046281,0.0,3.5,44,0.0,1679,47,1,0.78,0.71
39,115,0,0,2001,-2.2012403251064043,1,1,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,15,0.0,1026,14,1,0.0,0.0
40,56,0,0,1927,-0.055727928718009495,4,910,0,-0.7769448514374109,-0.7556545788175011,1.0,3.0,22,1.0,669,48,1,0.9,0.8300000000000001
41,79,0,0,1281,0.40402472765093217,1,792,0,-0.7033653570393757,-0.7587524508914284,1.0,4.0,23,0.0,1625,46,1,0.84,0.83
42,115,0,0,2001,0.0975229567383044,1,1474,0,0.6578552893242734,1.1061665376127765,0.0,3.0,15,0.0,1752,14,1,0.85,0.7536
43,21,0,0,2001,0.009951022191839312,1,467,0,-0.7631486962377793,-0.7556545788175011,0.0,3.0,22,0.0,940,0,1,0.82,0.71
44,56,0,0,2001,-0.07762091235462577,1,910,0,-0.7861422882371653,-0.8083184040742644,0.0,3.0,19,0.0,45,48,1,0.78,0.67
45,56,0,0,2001,0.0975229567383044,1,320,0,-0.7401551042383934,-0.7649481950392829,0.0,3.0,19,0.0,263,12,1,0.0,0.0
46,56,0,0,2001,-0.14329986326447458,1,199,0,-0.7585499778379021,-0.7866332995567736,0.0,3.0,19,0.0,1026,14,1,0.33,0.33
48,48,0,0,1801,0.18509489128476947,1,291,0,0.7498296573218172,1.1681239790913214,0.0,3.0,15,0.0,871,25,1,0.0,0.6919
49,77,0,0,2925,-0.2965507487207885,1,678,0,-0.7769448514374109,-0.8052205320003372,0.0,3.0,17,0.0,1152,21,1,0.0,0.67
50,36,0,0,2001,-0.09951389599124204,2,1,0,0.887791209318133,0.8893154924378689,0.0,3.5,15,0.0,1026,32,1,0.0,0.0
51,56,0,0,3269,-0.2089788141743234,1,207,0,-0.7953397250369196,-0.7866332995567736,0.0,2.5,23,0.0,638,11,1,0.0,0.6445000000000001
52,56,0,42,3243,-0.1870858305377071,1,199,0,-0.7999384434367969,-0.7959269157785553,0.0,3.0,23,0.0,1030,45,1,0.79,0.72
53,56,0,0,2097,-0.2308717978109397,1,326,0,-0.7585499778379021,-0.7835354274828463,0.0,3.0,19,0.0,385,20,1,0.89,0.775
54,169,0,0,2001,-2.2012403251064043,3,1,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,32,0.0,1026,13,1,0.0,0.0
55,77,0,24,2323,0.20698787492138573,1,495,0,-0.7677474146376565,-0.7773396833349918,2.0,3.5,22,0.0,288,0,1,0.951,0.937
56,77,0,0,1345,0.031844005828455584,1,505,0,0.9337783933169048,1.1061665376127765,0.0,3.0,17,0.0,871,42,1,0.73,0.65
57,56,0,0,2001,-2.04798943965009,1,207,0,-0.7861422882371653,-0.7959269157785553,0.0,3.0,42,0.0,1674,42,1,0.0,0.0
58,56,0,0,1147,-0.03383494508139323,1,367,0,0.9797655773156768,1.199102699830594,0.0,3.0,41,0.0,1524,21,1,0.95,0.8880000000000001
59,165,0,17,1469,0.14130892401153694,1,1113,0,-0.707964075439253,-0.8021226599264099,0.0,3.5,22,0.0,1657,35,1,0.93,0.8220000000000001
60,165,0,0,3351,-0.011941961444776958,1,1113,0,-0.7677474146376565,-0.7742418112610646,0.0,3.5,19,0.0,1160,0,1,0.9670000000000001,0.919
61,151,0,0,2001,-2.2012403251064043,1,1,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,19,0.0,1026,53,1,0.0,0.0
62,21,0,21,2001,-0.011941961444776958,1,967,1,-0.7677474146376565,-0.7525567067435739,1.0,3.0,23,1.0,517,0,1,0.91,0.7
64,137,0,0,2001,0.14130892401153694,1,387,0,-1.3195936226229197,-1.1304970997626984,0.0,5.5,19,0.0,1152,37,1,0.75,0.59
66,56,0,0,2001,-0.011941961444776958,1,320,0,1.1637143133107646,1.199102699830594,0.0,3.0,15,0.0,384,12,1,0.96,0.9209999999999999
67,75,0,0,2477,0.3821317440143159,2,827,0,-0.7447538226382705,-0.7525567067435739,0.0,4.0,19,0.0,782,13,1,1.0,0.995
69,77,0,0,2925,-0.03383494508139323,1,467,0,-0.7907410066370425,-0.7866332995567736,0.0,3.0,43,0.0,638,38,1,0.89,0.847
70,165,0,0,1077,0.22888085855800205,1,1140,0,-0.7493525410381477,-0.7804375554089191,0.0,4.5,19,0.0,1532,49,1,0.0,0.7849999999999999
71,165,12,0,1082,0.18509489128476947,1,1098,0,-0.7723461330375336,-0.7742418112610646,2.0,3.0,23,1.0,1679,20,1,0.947,0.857
72,137,0,0,2001,-2.2012403251064043,1,199,0,-0.7953397250369196,-0.7866332995567736,0.0,0.0,17,0.0,1152,6,1,0.0,0.7
73,0,0,0,2001,0.2945598094678508,1,207,0,-0.7401551042383934,-0.7742418112610646,0.0,4.0,23,0.0,743,49,1,0.97,0.784
74,56,0,0,749,-0.07762091235462577,1,467,0,-0.7631486962377793,-0.7649481950392829,0.0,3.0,23,0.0,1670,42,1,0.0,0.0
75,0,0,66,2001,-0.14329986326447458,1,291,0,-0.7861422882371653,-0.7928290437046281,0.0,3.0,23,0.0,511,53,1,0.81,0.7828
76,160,0,0,2001,-0.09951389599124204,2,1181,0,0.33594500133286986,1.1681239790913214,0.0,3.5,14,0.0,971,34,1,0.7559999999999999,0.711
78,56,0,0,427,0.11941594037492065,1,320,0,-0.7769448514374109,-0.7804375554089191,0.0,3.0,19,0.0,1597,44,1,0.85,0.7509999999999999
79,94,0,0,2001,-2.2012403251064043,1,1415,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,15,0.0,871,14,1,0.0,0.0
80,160,0,0,2001,0.40402472765093217,1,421,0,1.577598969299712,1.199102699830594,0.0,3.5,19,0.0,263,2,1,0.76,0.732
81,137,0,0,2001,0.2507738421946183,1,291,0,-0.7631486962377793,-0.7835354274828463,0.0,3.5,22,0.0,871,2,1,0.77,0.66
82,45,0,0,1977,0.11941594037492065,1,603,0,0.7498296573218172,1.1681239790913214,0.0,3.5,15,0.0,1688,29,1,0.97,0.74
